,G_x,AB,R,H,2B,3B,HR,RBI,SB_x,CS_x,BB,SO,IBB,HBP,SH,SF,GIDP,stint,G_y,GS,InnOuts,PO,A,E,DP,PB,SB_y,CS_y,salary,MinSalaries,adjSalary,adjMinSalaries,adjSalary2,Bavg,Slug,OBP,FPct,yearID,playerID,Primary
1147,139,523,55,123,18,2,20,83.0,0.0,0.0,42,73.0,1.0,1.0,1.0,6.0,14.0,3.0,140.0,133.0,3480.0,886.0,70.0,9.0,14.0,5.0,122.0,46.0,2060714.0,62500.0,4447020.812,134875.0,4447020.812,0.23518164435946462,0.3919694072657744,0.2902097902097902,0.9906735751295337,1987,cartega01,C
1272,95,358,78,104,17,3,17,37.0,41.0,8.0,80,52.0,1.0,2.0,0.0,0.0,10.0,1.0,69.0,69.0,1768.0,189.0,3.0,4.0,1.0,0.0,0.0,0.0,1670000.0,62500.0,3603860.0,134875.0,3603860.0,0.2905027932960894,0.4972067039106145,0.42272727272727273,0.9795918367346939,1987,henderi01,OF
1276,154,587,87,170,28,2,18,89.0,0.0,2.0,81,104.0,8.0,4.0,0.0,4.0,15.0,1.0,154.0,151.0,3946.0,1298.0,149.0,10.0,110.0,0.0,0.0,0.0,1800000.0,62500.0,3884400.0,134875.0,3884400.0,0.28960817717206133,0.43611584327086883,0.3772189349112426,0.9931365820178449,1987,hernake01,1B
1372,141,569,93,186,38,2,30,115.0,1.0,4.0,51,38.0,13.0,1.0,0.0,8.0,16.0,1.0,140.0,139.0,3680.0,1239.0,91.0,5.0,122.0,0.0,0.0,0.0,1975000.0,62500.0,4262050.0,134875.0,4262050.0,0.3268892794376098,0.5588752196836555,0.3783783783783784,0.9962546816479401,1987,mattido01,1B
1405,159,566,115,167,27,1,44,105.0,16.0,6.0,115,136.0,29.0,7.0,0.0,5.0,11.0,1.0,159.0,159.0,4220.0,325.0,14.0,8.0,1.0,0.0,0.0,0.0,1925000.0,62500.0,4154150.0,134875.0,4154150.0,0.2950530035335689,0.5795053003533569,0.417027417027417,0.9769452449567724,1987,murphda05,OF
1407,160,618,89,171,28,3,30,91.0,1.0,2.0,73,80.0,6.0,0.0,0.0,3.0,15.0,1.0,156.0,156.0,4141.0,1371.0,145.0,10.0,146.0,0.0,0.0,0.0,2044757.0,62500.0,4412585.606,134875.0,4412585.606,0.2766990291262136,0.4773462783171521,0.3515850144092219,0.9934469200524246,1987,murraed02,1B
1467,139,530,123,175,34,8,18,68.0,50.0,5.0,90,52.0,26.0,4.0,0.0,3.0,9.0,1.0,139.0,139.0,3700.0,297.0,9.0,4.0,1.0,0.0,0.0,0.0,1666333.0,62500.0,3595946.614,134875.0,3595946.614,0.330188679245283,0.5264150943396226,0.42902711323763953,0.9870967741935484,1987,raineti01,OF
1484,108,404,66,112,14,0,13,62.0,1.0,1.0,45,77.0,3.0,7.0,0.0,3.0,22.0,1.0,94.0,94.0,2439.0,155.0,12.0,4.0,2.0,0.0,0.0,0.0,2110000.0,62500.0,4553380.0,134875.0,4553380.0,0.27722772277227725,0.4084158415841584,0.3572984749455338,0.9766081871345029,1987,riceji01,OF
1513,147,522,88,153,28,0,35,113.0,2.0,1.0,83,80.0,15.0,2.0,0.0,6.0,17.0,3.0,150.0,141.0,3668.0,138.0,319.0,13.0,35.0,0.0,0.0,0.0,2127333.0,62500.0,4590784.614,134875.0,4590784.614,0.29310344827586204,0.5478927203065134,0.38825448613376834,0.9723404255319149,1987,schmimi01,3B
1535,158,600,104,182,40,4,0,75.0,43.0,9.0,89,36.0,3.0,1.0,12.0,4.0,9.0,1.0,158.0,153.0,4072.0,245.0,516.0,10.0,111.0,0.0,0.0,0.0,1940000.0,62500.0,4186520.0,134875.0,4186520.0,0.30333333333333334,0.38333333333333336,0.3919308357348703,0.9870298313878081,1987,smithoz01,SS
